threshold,TP,FP,TN,FN,precision,recall,f1,fpr,fnr
0.02,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.03,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.04,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.05,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.06,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.07,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.08,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.09,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.1,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.11,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.12,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.13,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.14,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.15,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.16,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.17,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.18,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.19,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.2,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.21,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.22,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.23,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.24,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.25,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.26,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.27,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.28,3,2,0,0,0.600,1.000,0.750,1.000,0.000
0.29,3,1,1,0,0.750,1.000,0.857,0.500,0.000
